fund,forecastirr,forecast_moic,current_irr,current_moic,geography,sector,asset,nature,investment_date,committed,funded,o_s,distribution,current_mtm_value,total_earned,fund_full_name,initial_closing_date,final_closing_date,vintage_year,general_partner_gp,investment_manager,fund_domicile,fund_term,extensions,investment_period,fund_currency,fund_size_total_commitment,minimum_commitment,gp_commitment,financial_year_end,accounting_principles,fund_performance_indicator,fair_value_of_porfolio_companies_usdol_mil,total_net_asset_value_usdol_mil,fund_gross_multiple_x,fund_net_multiple_x,fund_gross_irr_pct,fund_net_irr_pct,fund_distribution_to_paid_in_capital_dpi_pct,ccg_performance_indicator,commitment_usdol_mil,ownership_pct,cumulative_contribution_usdol_mil,remaining_unfunded_commitment_usdol_mil,cumulative_distribution_usdol_mil,capital_account_balance_usdol_mil,call_up_percentage_pct,distribution_to_paid_in_capital_dpi_pct,multiple_x,irr_pct,fee_term,management_fees_investment_period,management_fees_after_investment_period,preferred_return,carried_interest,lp_reporting_timeline,quarterly_report_after_period_end,annual_report_after_period_end,drawdown_notice,dpi_x,rvpi_x,tvpi_moic_x,irr,upside,total,moic,irr_1,inception,expiry,entity,fee_pct,carry_pct
BOYU Capital Fund I,35.000000,3.100000,34.000000,3.100000,China,Diversified,PE - VC / Growth,Private,2011-06-01,30000000.00,29454452.00,-545548.00,92038826.00,51248.00,62584374.00,"BOYU Capital Fund I, L.P.",2011-06-11,2011-09-13,2011.0,"BOYU Capital General Partner I, L.P.",BOYU Capital Management Ltd.,Cayman Islands,Jun 2021 (10 years from Initial Closing Date),1 + 1 year,Jun 2016 (5 years from Initial Closing Date),USD,US$1.0301b,US$10mil,US$10.2mil,,US GAAP,31-Dec-2024,0.300000,2.400000,4.300000,,,,366.00,,30.000000,2.910000,29.500000,2.600000,92.000000,0.100000,98.200000,312.00,3.100000,33.600000,,2% of commitment,2% of invested capital,8%,20%,,60 days,90 days,,3.120000,0.000000,3.130000,33.640000,16900319.00,0,3.100000,35.000000,2011-06-01,2021-06-01,CCGBVI,2.000000,20.000000
Ascendent Fund,23.000000,2.300000,22.000000,2.400000,China,Diversified,PE - Buyout,Private,2011-12-01,10000000.00,8570276.00,-1429724.00,20207464.00,249627.00,12237188.00,"Ascendent Capital Partners I, L.P.",2011-04-18,2012-04-17,2012.0,"Ascendent Capital Partners I GP, L.P.",Ascendent Capital Partners Limited,Cayman Islands,8 years from Final Closing Date,1 + 1 year,30-Sep-2015,USD,US$365.4mil,US$10mil,US$21.5mil,,US GAAP,31-Dec-2024,6.400000,9.500000,2.900000,2.100000,29.000000,20.100000,238.30,,,,,1.400000,,,,,,,,,,,,,,,,2.360000,0.030000,2.390000,22.430000,8917876.00,0,2.300000,23.000000,2011-04-01,2021-04-01,CCGBVI,2.000000,20.000000
BOYU Capital Offshore Fund,16.000000,2.100000,17.000000,2.100000,China,Diversified,HF,PIPP,2016-09-01,10000000.00,10000000.00,,20196163.00,793271.00,10506163.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.020000,0.080000,2.100000,16.960000,20506163.00,0,2.100000,16.000000,2016-09-01,,CCGBVI,2.000000,20.000000
E15 Fund I,-7.000000,0.800000,-8.000000,0.800000,US,Technology,PE - VC / Growth,VC,2017-06-08,6000000.00,6000000.00,,4158211.00,569305.00,-1141789.00,"E15 Fund I, LP",2017-06-06,,2017.0,"E15 Fund I GP, LLC","E15 Fund I Advisors, LLC",Cayman Islands,10 years from Final Closing Date,1+1,3 years from Final Closing Date,USD,US$6mil,,,,US GAAP,31-Dec-2024,0.500000,0.900000,0.800000,,,,,,6.000000,62.500000,6.000000,,4.200000,0.600000,100.000000,69.30,0.800000,-8.500000,,2% of commitment,2% of invested capital,0%,20%,,60 days,120 days,,0.690000,0.090000,0.790000,-8.470000,875897.00,0,0.800000,-7.000000,2017-06-01,2028-05-01,Fortune Wheel,2.000000,20.000000
West Street Capital Partners VII,19.000000,2.000000,15.000000,1.400000,Global,Diversified,PE - Buyout,Private,2018-09-01,25000000.00,20996048.00,-4003952.00,14856555.00,14507335.00,25000000.00,"West Street Capital Partners VII Offshore, L.P.",2017-08-01,2018-08-01,2018.0,"Goldman Sachs & Co. LLC, Merchant Banking Division","Goldman Sachs & Co. LLC, Merchant Banking Division",Cayman Islands,Aug 2028 (10 years from inception),1+2,5 years from Final Closing Date,USD,US$7.242bn,US$5mil,US$911mil,,US GAAP,31-Dec-2024,6030.000000,1356.400000,1.700000,1.500000,15.000000,10.000000,0.70,,,,,,,,,,,,,,,,,,,,,0.710000,0.690000,1.400000,14.580000,3037855.00,0,2.000000,19.000000,2018-08-01,2028-08-01,VMG Ltd,1.000000,20.000000
